"","Tickers","Names"
"1","BTC","(Bitcoin)"
"2","ETH","(Ethereum)"
"3","USDT","(Tether)"
"4","XRP","(Ripple)"
"5","ADA","(Cardano)"
"6","LTC","(Litecoin)"
"7","LINK","(Chainlink)"
"8","DOGE","(Dogecoin)"
"9","BCH","(Bitcoin Cash)"
"10","XLM","(Stellar)"
"11","USDC","(Usd Coin)"
"12","BSV","(Bitcoin Sv)"
"13","NEO","(Neo)"
"14","EOS","(Eos)"
"15","TRX","(Tron)"
"16","XEM","(Nem)"
"17","XMR","(Monero)"
"18","XTZ","(Tezos)"
"19","MKR","(Maker)"
"20","VET","(Vechain)"
"21","DAI","(Dai)"
"22","HT","(Huboi Token)"
"23","DASH","(Dash)"
"24","DCR","(Decred)"
"25","ZEC","(Zcash)"
"26","ZRX","(Ox)"
"27","ETC","(Ethereum Classic)"
"28","ZIL","(Zilliqa)"
"29","WAVES","(Waves)"
"30","LRC","(Loopring)"
"31","OMG","(Omg Network)"
"32","ONT","(Ontology)"
"33","BAT","(Basic Attention Token)"
"34","ICX","(Icon)"
"35","QTUM","(Qtun)"
"36","SC","(Siacoin)"
"37","KNC","(Kyber Network)"
"38","MANA","(Decentraland)"
"39","IOST","(Iost)"
"40","BNT","(Bancor)"
"41","XVG","(Verge)"
"42","UST","(Terraust)"
"43","REP","(Augur)"
"44","FUN","(Funfair)"
"45","PAX","(Paxos Standard)"
"46","BTG","(Bitcoin Gold)"
"47","SNT","(Status)"
"48","LSK","(Lisk)"
"49","MAID","(Maid Safe Coin)"
"50","CVC","(Civic)"
"51","UTK","(Utrust)"
"52","BTC-EUR","(Bitcoin-Eur)"
"53","ETH-BTC","(Ethereum-Bitcoin)"
