"","Tickers","Names"
"1","BRR","(CME CF Bitcoin Reference Rate)"
"2","BRTI","(CME CF Bitcoin Real-Time Index)"
"3","BXD","(Cboe DJIA BuyWrite Index)"
"4","BXM","(Cboe S&P 500 BuyWrite Index)"
"5","BXN","(Cboe NASDAQ-100 BuyWrite Index)"
"6","BXR","(Cboe Russell 2000 BuyWrite Index)"
"7","CEX","(Standard & Poors Chemicals Index)"
"8","CLL","(Cboe S&P 500 95-110 Collar Index)"
"9","COMP","(Nasdaq Composite)"
"10","CXU","(U.S.-Europe-Japan Basket)"
"11","DJCIAGC","(Dow Jones Commodity Index Agriculture Capped Component)"
"12","DJCICC","(Dow Jones Commodity Index Cocoa)"
"13","DJCIEN","(Dow Jones Commodity Index Energy)"
"14","DJCIGC","(Dow Jones Commodity Index Gold)"
"15","DJCIGR","(Dow Jones Commodity Index Grains)"
"16","DJCIIK","(Dow Jones Commodity Index Nickel)"
"17","DJCIKC","(Dow Jones Commodity Index Coffee)"
"18","DJCISB","(Dow Jones Commodity Index Sugar)"
"19","DJCISI","(Dow Jones Commodity Index Silver)"
"20","DJI","(Dow Jones Industrial Average)"
"21","DJINET","(Dow Jones Internet)"
"22","DJR","(Dow Jones Equity Real Estate Investment Trust Index)"
"23","DJTTR","(Dow Jones Transportation)"
"24","DRG","(NYSE Pharmaceutical)"
"25","DUX","(Dow Jones Utility Average Index)"
"26","DVS","(S&P 500 Dividend Index 10X)"
"27","DWCF","(Dow Jones Total US Stock Market)"
"28","DWCPF","(Dow Jones US Completion Total Stock Market)"
"29","DWLG","(Dow Jones Large-Cap Growth Total Market)"
"30","DWLV","(Dow Jones Large-Cap Value Total Market)"
"31","DXL","(Cboe Jumbo DJX Index)"
"32","DXY","(US Dollar Index)"
"33","EVZ","(CBOE Eurocurrency Volatility Index)"
"34","FVX","(CBOE 5 Year Treasury)"
"35","GVZ","(CBOE Gold Volatility Index)"
"36","GXBT","(Gemini Bitcoin Trade Price)"
"37","HGX","(PHLX Housing Sector)"
"38","LOVOL","(Cboe Low Volatility Index)"
"39","MID","(S&P MidCap 400)"
"40","MIDG","(S&P MidCap 400 Growth)"
"41","MIDV","(S&P MidCap 400 Value)"
"42","NDX","(Nasdaq 100)"
"43","NYA","(NYSE Composite)"
"44","NYFANG","(NYSE FANG+ Index)"
"45","NYXBT","(NYSE Bitcoin Index)"
"46","OEX","(S&P 100)"
"47","OSX","(PHLX Oil Service Sector Index)"
"48","OVX","(CBOE Crude Oil Volatility Index)"
"49","PUT","(Cboe S&P 500 Put-Write Index)"
"50","REIT","(Dow Jones Equity REIT)"
"51","RUA","(Russell 3000 Index)"
"52","RUI","(Russell 1000)"
"53","RUT","(Russell 2000)"
"54","RVX","(Russell 2000 Volatility Index)"
"55","RXM","(Cboe S&P 500 Risk Reversal Index)"
"56","SET","(S&P 500 Settlement Index)"
"57","SGX","(S&P 500 Growth)"
"58","SKEW","(CBOE Skew Index)"
"59","SMILE","(Cboe S&P 500 Smile Index)"
"60","SMLG","(S&P Small Cap 600 Growth)"
"61","SP500LVOL","(S&P 500 Low Volatility)"
"62","SP600","(S&P 600 Small Cap)"
"63","SPEN","(Cboe S&P 500 Enhanced Growth Balanced Series)"
"64","SPGSCI","(S&P Goldman Sachs Commodity)"
"65","SPMPG","(S&P MidCap 400 Pure Growth)"
"66","SPMPV","(S&P MidCap 400 Pure Value)"
"67","SPRI","(Cboe S&P 500 Range Bound Premium)"
"68","SPRO","(Cboe S&P 500 Buffer Protect Index Series)"
"69","SPSIBI","(S&P Biotechnology Select Industry)"
"70","SPSPG","(S&P Small Cap 600 Pure Growth)"
"71","SPSPV","(S&P Small Cap 600 Pure Value)"
"72","SPSV","(S&P Small Cap 600 Value)"
"73","SPTMI","(S&P Total Market Index)"
"74","SPX","(S&P 500)"
"75","SPXPG","(S&P 500 Pure Growth)"
"76","SPXPV","(S&P 500 Pure Value)"
"77","SVX","(S&P 500 Value)"
"78","TNX","(CBOE 10 Year Treasury)"
"79","TYX","(CBOE 30 Year Treasury)"
"80","USDOLLAR","(Dow Jones FXCM Dollar)"
"81","UTIL","(Dow Jones Utilities)"
"82","UTY","(PHLX Utility Sector)"
"83","VIF","(Cboe SPX Far-term VIX Index)"
"84","VIN","(Cboe SPX Near-term VIX Index)"
"85","VIX","(Cboe Volatility Index)"
"86","VIX1Y","(Cboe 1-Year Volatility Index)"
"87","VIX3M","(S&P 500 3 Month Volatility)"
"88","VIX6M","(Cboe Mid-Term Volatility Index)"
"89","VIX9D","(S&P 500 9-Day Volatility)"
"90","VOLI","(Nations VolDex)"
"91","VPD","(Cboe VIX Premium Strategy Index)"
"92","VPN","(Cboe Capped VIX Premium Strategy Index)"
"93","VVIX","(VIX Volatility Index)"
"94","VWA","(Cboe VIX Indicative Ask Index)"
"95","VWB","(Cboe VIX Indicative Bid Index)"
"96","VXD","(Cboe DJIA Volatility Index)"
"97","VXN","(Cboe NASDAQ Volatility Index)"
"98","VXO","(Cboe S&P 100 Volatility Index)"
"99","VXSLV","(Cboe Silver ETF Volatility Index)"
"100","VXTH","(Cboe VIX Tail Hedge Index)"
"101","W5000","(Wilshire 5000)"
"102","WPUT","(Cboe S&P 500 One-Week PutWrite Index)"
"103","XAU","(Philadelphia Gold and Silver Index)"
"104","XAX","(Amex Composite)"
"105","XBTIS","(Gemini 4pm Bitcoin Auction Indicative Price)"
"106","XMI","(NYSE Arca Major Market)"
"107","XSP","(Mini Standard & Poor's 500)"
"108","XSR","(S&P 500 Settlement Reduced)"
