"","Tickers","Names"
"1","A","(Agilent Technologies Inc)"
"2","AA","(ALCOA CORPORATION)"
"3","AACG","(ATA CREATIVITY GLOBAL AMERICAN DEPOSITARY SHARES)"
"4","AADI","(AADI BIOSCIENCE INC. COMMON STOCK)"
"5","AAIC","(ARLINGTON ASSET INVESTMENT CORP CLASS A (NEW))"
"6","AAL","(American Airlines Group)"
"7","AAMC","(ALTISOURCE ASSET MANAGEMENT CORP COM)"
"8","AAME","(ATLANTIC AMERICAN CORPORATION COMMON STOCK)"
"9","AAN","(Aaron's)"
"10","AAOI","(Applied Optoelectronics)"
"11","AAON","(Aaon)"
"12","AAP","(Advance Auto Parts)"
"13","AAPL","(Apple)"
"14","AAT","(American Assets Trust)"
"15","AATC","(AUTOSCOPE TECHNOLOGIES CORPORATION COMMON STOCK)"
"16","AAU","(ALMADEN MINERALS LTD. COMMON SHARES)"
"17","AAWW","(Atlas Air Worldwide)"
"18","AB","(AllianceBernstein Holding L.P.)"
"19","ABB","(ABB LTD COMMON STOCK)"
"20","ABBV","(AbbVie)"
"21","ABC","(AmerisourceBergen Corp)"
"22","ABCB","(Ameris Bancorp)"
"23","ABCL","(AbCellera Biologics)"
"24","ABCM","(Abcam PLC)"
"25","ABEO","(Abeona Therapeutics)"
"26","ABEV","(AMBEV S.A. AMERICAN DEPOSITARY SHARES (EACH REPRESENTING 1 COMMON SHARE))"
"27","ABG","(Asbury Automotive Group)"
"28","ABIO","(ARCA BIOPHARMA INC. COMMON STOCK)"
"29","ABM","(ABM Industries Incorporated)"
"30","ABMD","(ABIOMED Inc)"
"31","ABNB","(AirBnB)"
"32","ABOS","(Acumen Pharmaceuticals)"
"33","ABR","(Arbor Realty Trust)"
"34","ABSI","(Absci)"
"35","ABST","(Absolute Software)"
"36","ABT","(Abbott Laboratories)"
"37","ABTX","(Allegiance Bancshares)"
"38","ABUS","(ARBUTUS BIOPHARMA CORPORATION COMMON STOCK)"
"39","ABVC","(ABVC BIOPHARMA INC. COMMON STOCK)"
"40","AC","(Associated Capital Group)"
"41","ACA","(Arcosa)"
"42","ACAD","(ACADIA Pharmaceuticals)"
"43","ACB","(Aurora Cannabis Inc. Common Shares)"
"44","ACC","(American Campus Communities)"
"45","ACCD","(Accolade)"
"46","ACCO","(Acco Brands)"
"47","ACEL","(Accel Entertainment)"
"48","ACER","(ACER THERAPEUTICS INC. COMMON STOCK (DE))"
"49","ACET","(Adicet Bio)"
"50","ACGL","(Arch Capital Group Ltd.)"
"51","ACH","(ALUMINUM CORPORATION OF CHINA LIMITED AMERICAN DEPOSITARY SHARES)"
"52","ACHC","(Acadia Healthcare Company)"
"53","ACHL","(ACHILLES THERAPEUTICS PLC)"
"54","ACHR","(Archer Aviation Inc.)"
"55","ACHV","(ACHIEVE LIFE SCIENCES INC. COMMON SHARES)"
"56","ACI","(Albertsons Companies)"
